time: 9.913749694824219, root_diff: 0.4166666666666666, V_lower: 0.3333333333333333, V_upper: 0.7499999999999999, Belief Size: 415, Controller Size: 352
time: 10.067351818084717, root_diff: 0.37500000000000006, V_lower: 0.3333333333333333, V_upper: 0.7083333333333334, Belief Size: 425, Controller Size: 358
time: 10.06736969947815, root_diff: 0.37500000000000006, V_lower: 0.3333333333333333, V_upper: 0.7083333333333334, Belief Size: 425, Controller Size: 358
time: 10.072646617889404, root_diff: 0.37500000000000006, V_lower: 0.3333333333333333, V_upper: 0.7083333333333334, Belief Size: 425, Controller Size: 358
time: 10.214086532592773, root_diff: 0.37500000000000006, V_lower: 0.3333333333333333, V_upper: 0.7083333333333334, Belief Size: 430, Controller Size: 364
time: 10.21410059928894, root_diff: 0.37500000000000006, V_lower: 0.3333333333333333, V_upper: 0.7083333333333334, Belief Size: 430, Controller Size: 364
time: 10.219446659088135, root_diff: 0.37500000000000006, V_lower: 0.3333333333333333, V_upper: 0.7083333333333334, Belief Size: 430, Controller Size: 364
time: 10.360735654830933, root_diff: 0.37500000000000006, V_lower: 0.3333333333333333, V_upper: 0.7083333333333334, Belief Size: 435, Controller Size: 370
time: 10.360750436782837, root_diff: 0.37500000000000006, V_lower: 0.3333333333333333, V_upper: 0.7083333333333334, Belief Size: 435, Controller Size: 370
time: 10.366377592086792, root_diff: 0.37500000000000006, V_lower: 0.3333333333333333, V_upper: 0.7083333333333334, Belief Size: 435, Controller Size: 370
time: 10.437974691390991, root_diff: 0.37500000000000006, V_lower: 0.3333333333333333, V_upper: 0.7083333333333334, Belief Size: 435, Controller Size: 375
time: 10.437988519668579, root_diff: 0.37500000000000006, V_lower: 0.3333333333333333, V_upper: 0.7083333333333334, Belief Size: 435, Controller Size: 375
time: 10.443530559539795, root_diff: 0.3333333333333333, V_lower: 0.3333333333333333, V_upper: 0.6666666666666666, Belief Size: 435, Controller Size: 375
time: 10.588335514068604, root_diff: 0.3333333333333333, V_lower: 0.3333333333333333, V_upper: 0.6666666666666666, Belief Size: 440, Controller Size: 381
time: 10.588351488113403, root_diff: 0.3333333333333333, V_lower: 0.3333333333333333, V_upper: 0.6666666666666666, Belief Size: 440, Controller Size: 381
time: 10.59422755241394, root_diff: 0.3333333333333333, V_lower: 0.3333333333333333, V_upper: 0.6666666666666666, Belief Size: 440, Controller Size: 381
time: 10.720561504364014, root_diff: 0.3333333333333333, V_lower: 0.3333333333333333, V_upper: 0.6666666666666666, Belief Size: 443, Controller Size: 387
time: 10.720577478408813, root_diff: 0.3333333333333333, V_lower: 0.3333333333333333, V_upper: 0.6666666666666666, Belief Size: 443, Controller Size: 387
time: 10.726197481155396, root_diff: 0.3333333333333333, V_lower: 0.3333333333333333, V_upper: 0.6666666666666666, Belief Size: 443, Controller Size: 387
time: 11.445156574249268, root_diff: 0.3333333333333333, V_lower: 0.3333333333333333, V_upper: 0.6666666666666666, Belief Size: 443, Controller Size: 392
time: 11.445213556289673, root_diff: 0.3333333333333333, V_lower: 0.3333333333333333, V_upper: 0.6666666666666666, Belief Size: 443, Controller Size: 392
time: 11.450729608535767, root_diff: 0.3333333333333333, V_lower: 0.3333333333333333, V_upper: 0.6666666666666666, Belief Size: 443, Controller Size: 392
time: 11.55512261390686, root_diff: 0.3333333333333333, V_lower: 0.3333333333333333, V_upper: 0.6666666666666666, Belief Size: 444, Controller Size: 398
time: 11.555137634277344, root_diff: 0.3333333333333333, V_lower: 0.3333333333333333, V_upper: 0.6666666666666666, Belief Size: 444, Controller Size: 398
time: 11.560889482498169, root_diff: 0.3333333333333333, V_lower: 0.3333333333333333, V_upper: 0.6666666666666666, Belief Size: 444, Controller Size: 398
time: 11.684309482574463, root_diff: 0.3333333333333333, V_lower: 0.3333333333333333, V_upper: 0.6666666666666666, Belief Size: 447, Controller Size: 404
time: 11.684324502944946, root_diff: 0.3333333333333333, V_lower: 0.3333333333333333, V_upper: 0.6666666666666666, Belief Size: 447, Controller Size: 404
time: 11.690050601959229, root_diff: 0.3333333333333333, V_lower: 0.3333333333333333, V_upper: 0.6666666666666666, Belief Size: 447, Controller Size: 404
time: 11.764492511749268, root_diff: 0.3333333333333333, V_lower: 0.3333333333333333, V_upper: 0.6666666666666666, Belief Size: 447, Controller Size: 409
time: 11.764508485794067, root_diff: 0.3333333333333333, V_lower: 0.3333333333333333, V_upper: 0.6666666666666666, Belief Size: 447, Controller Size: 409
